Author,Exclude
" ",0
" Edward Mote (1797 - 1874) 
 Rap Section Words: ",0
" Fanny J Crosby (1820-1915) Chris Bowater",0
" Isaac Watts (1674-17,48)",0
" John Wesley",0
"'K-.' from JOHN RIPPON'S Selection of Hymns",0
"(Most of verses words from Hymn 'Hark the glad sound' by Phillip Doddridge (1702-1751)}. adap Godfrey Birtill",0
"(Most of verses words from Hymn Hark the glad sound by Phillip Doddridge (1702-1751) adap Godfrey Birtill)",0
"(Official Peace Version (1919) Anonymous)
Henry Carey, William E Hickson",0
"(part of) French carol, 15th cent",0
"17th-cent. Latin, based on a 16th-cent. Spanish po",0
"18th Century Latin tr. John Mason Neale (1818-66)",0
"A E Kennedy",0
"A. B. Simpson",0
"A. C. AINGER (1841-1919)",0
"A.B. Simpson",0
"Aaron Boyd, Richard Bleakley, Peter Comfort, Peter Kernaghan, Andrew McCann &",0
"Aaron Frith",0
"Aaron Keyes",0
"Aaron Keyes & Andy Lehman",0
"Aaron Keyes & Kees Kraayenoord",0
"Aaron Keyes & Steve Hindalong",0
"Aaron Keyes / Paul Oakley",0
"Aaron Keyes, Gary Sadler, & John Hartley",0
"Aaron Keyes, John Hartley, & Tom Lane",0
"Adapted by Horatius Bonar (1808-1889)",0
"ADELAIDE A. PROCTER (1825-64) altd. ",0
"Adelaide Anne Procter (1825-64)",0
"after Bianco da Siena (1367-1434), Richard F. Litt",0
"Al Gordon",0
"Al Gordon & Hanif William",0
"Al Gordon & Tim Hughes",0
"Al Gordon, Hanif,Williams & Tim Hughes",0
"Al Gordon, Luke Hellebronth & Hanif Williams",0
"Alan Rose.",0
"Albert B Simpson (1843-1919)",0
"Albert F. Bayly ",0
"Albert F. Bayly (1901-",0
"Albert F. Bayly (1901-) alt.",0
"Albert F. Bayly (born 1901)",0
"Albert Midlane",0
"Albert Midlane (1825-1909)",0
"Alexander Stewart (1843-1923)",0
"Alexcenah Thomas (fl.1885)",0
"Alfred Henry Vine (1845-1917)",0
"Ali Croxford",0
"Alison Croxford",0
"Alison Hedger",0
"alt. John Wesley (1703-91)",0
"American folk hymn",0
"Andi Markham",0
"Andre Kempen.",0
"Andreana Arganda",0
"Andreana Arganda & Beth Redman",0
"Andrew Mitchell",0
"Andrew Osenga. Cary Pierce, Chris Tomlin",0
"Andrew Reed (1787-1862)",0
"Andrew Rogers",0
"Andrew Small & Doug Williams",0
"Andrew Ulugia, Wayne Huirua & Jack Hayford (additional new verse)",0
"Andy & Jacob Bromley",0
"Andy & Wendy Green",0
"Andy Bromley",0
"Andy Bromley & Chris Bowater",0
"Andy Bromley & Chris Donohue",0
"Andy Bromley & Howard Williams",0
"Andy Bromley, John Hartley & Dennis Holt",0
"Andy Bromley, John Hartley & Gary Sadler",0
"Andy Bromley/John Hartley/Susan Ashton",0
"Andy Carter",0
"Andy Ferret & Marc James",0
"Andy Ferrett",0
"Andy Ferrett & Marc James",0
"Andy Ferrett & Simon Brading",0
"Andy Ferrett, Paul Oakley, and Marc James",0
"Andy Gilbert",0
"Andy Gilmore",0
"Andy Smith",0
"Anna B Warner (1827-1915)",0
"Anna H. Warner",0
"Anna L. Waring",0
"Anna M Hull (c.1812-1882)",0
"Anne Bronte (1820-49)",0
"Anne Ross Cousin",0
"Anne Ross Cousin (1824-1906)",0
"Annie Hawkes",0
"Anon",0
"Anon.",0
"Anon. (c.1880)",0
"Anon., 1858",0
"Anonymous",0
"Anonymous (15th Cent) tr. John Mason Neale (1818-6",0
"Anonymous (18th Century)",0
"Anthony Skinner/Ross Huskinson/Tom Lane/Scott MacLeod",0
"Anthony Spicer",0
"Arabella Catherine Hankey (1834-1911)",0
"Arnold Thomas (1848-1924) alt.",0
"Arthur T. Pierson",0
"Arthur Tannous",0
"Arthur Tappan Pierson (1837-1911)",0
"Arthur Tozer Russell (1806-74)",0
"attr Hodgson Casson (1788-1851)",0
"attrib. GREGORY THE GREAT (c.540-604)",0
"attrib. RICHARD OF CHICHESTER (c.1197-1253) altd.",0
"attributed to Patrick (c 380)",0
"Augustus M. Toplady",0
"AUGUSTUS M. TOPLADY (1740-78) altd.",0
"Augustus Montague Toplady",0
"Augustus Montague Toplady (1740-78) alt.",0
"Austin Martin",0
"Austrian Carol, 1649 (? D. G. CORNER, 1587-1648)",0
"Author c. 10th Century; tr. Alfred Edward Alston ",0
"Author Charles Wesley (1707-88)",0
"Author Charles Wesley (I707-88)",0
"Author George Herbert (1593-1633)",0
"Author George Rawson (1807-89)",0
"Author Henry Francis Lyte (1793-1847)",0
"Author Howard Kingsbury (c. 1850)",0
"Author Isaac Watts (1674-17,48)",0
"Author Isaac Watts (1674-1748)",0
"Author John Wesley (1703-91)",0
"Author Nicolaus Ludwig von Zinzendorf (1700-60)",0
"Author Paraphrased from John Tauler (1300-61) by E",0
"Author Robert Bridges (1844-1930)",0
"Author Robert Grant (1779-1838)",0
"Author Scottish Translations and Paraphrases 1745",0
"Author Thomas Hornblower Gill (1819-1906)",0
"Author Timothy Rees (1874-1939) alt",0
"Author Traditional",0
"Author Unknown",0
"Author Unknown  arr: Stuart Townend",0
"Author Unknown Arr. Margaret Evans",0
"Author Unknown rr: Stuart Townend",0
"Author Unknown/Arr. Margaret Evans",0
"Author unknown/Arr. Stuart Townend",0
"Author W. Chalmers Smith (1824-1908)",0
"Author William Cowper (1731-1800)",0
"Author: 'K-.' from JOHN RIPPON'S Selection of Hymns",0
"AuthorJohn Samuel Bewley Monsell (1811-75)",0
"Based on a traditional Welsh carol",0
"based on an Afro-American Spiritual",0
"based on Charles Coffin (1676-1749)",0
"based on Charles Coffin (1676-1749) Robert Seymour Bridges.",0
"based on J. E. Rankin (1828-1904)",0
"based on Johann Heermann (1585-1647)",0
"based on Paul Gerhardt (1607-76)",0
"Basque Carol",0
"Becky Frith & Leah Broomfield",0
"Ben and Hannah Dunnett",0
"Ben Cantelon",0
"Ben Cantelon & Nick Herbert",0
"Ben Cantelon & Robin Hardingham",0
"Ben Cantelon & Tim Hughes",0
"Ben Cantelon, Tim Hughes& Nick Herbert",0
"Ben Fielding",0
"Benjamin Beddome (1717NS-1795)",0
"Benjamin Rhodes (1743-1815)",0
"Benjamin Russell Hanby (1833-97)",0
"BENJAMIN SCHMOLK (1672-1737)",0
"Benjamin Waugh (1839-1908)",0
"Bernard Barton (1784-1849)",0
"Bernard F Cluney (12th cent)",0
"Bernard F Cluny (12th cent.)",0
"Bernard of Clairvaux",0
"Bernard of Clairvaux and Gerhardt tr. Dr. Alexande",0
"Bessie Porter Head (1850-1936)",0
"Bethan Stevens (Abundant Life Ministries, Bradford, England)",0
"Bill Tizzard",0
"Billy James Foote",0
"Billy James Foote 1st verse and theme from Sing we the King by
Charles Silvester Horne (1865-1914)",0
"Billy James Foote 1st verse and theme from Sing we the King by Charles Silvester Horne (1865-1914)",0
"Bob Gillman",0
"BOB KILPATRICK and compilers",0
"Brenton Brown",0
"Brenton Brown 
(Inspired by 'I need theee every hour' by Annie Hawkes, 1872)",0
"Brenton Brown & Brian Doerksen",0
"Brenton Brown & Daniel Ornellas. Chorus H.G.Spafford (1828-1888)",0
"Brenton Brown & Don Williams",0
"Brenton Brown & Doug Bacon",0
"Brenton Brown & Ken Riley",0
"Brenton Brown & Matt Maher",0
"Brenton Brown & Paul Baloche",0
"Brenton Brown & Paul Baloche, Matt Redman",0
"Brenton Brown (Inspired by 'I need theee every hour' by Annie Hawkes, 1872)",0
"Brenton Brown, Nick Herbert & Eoghan Heaslip",0
"Brenton Brown/Paul Baloche",0
"Brian Bergman, Charlie Hall, Dustin Ragland, Kendall Combes",0
"Brian Bergman/Charlie Hall/Dustin Ragland/Kendall Combes/Quint Anderson",0
"Brian Houston",0
"Brian Houston & Tom Brock",0
"Brooke Fraser",0
"Brooke Ligertwood",0
"Bryn A Rees (1911-83)",0
"BRYN A. REES (1911-83) altd.",0
"Bryn Haworth",0
"Busbee",0
"busbee, Gabe Watkins & Malcolm du Plessis",0
"By Geraldine Latty & busbee",0
"c. 5th Century tr. James Russell Woodford (1820-85",0
"C. F. Gellert (1715-69) tr. Frances Elizabeth Cox",0
"C. M. KAO tr. LILY KAO",0
"Caelius Sedulius (c. 450) tr. John Ellerton (1826-",0
"CAELIUS SEDULIUS c.450",0
"Caroline Bonnett & Steve Bassett",0
"Caroline M. Noel (1817 - 77)",0
"Caroline Maria Noel (1817 - 77)",0
"Carrie Breck (1855-1934)",0
"Cary Pierce, Chris Tomlin, Ed Cash, Jesse Reeves, Mike Finley",0
"Catherine Winkworth (1827-78)",0
"Cathy Burton",0
"Cathy Burton & David Gate",0
"Cecil F. Alexander",0
"Cecil F. Alexander (1818-1895)",0
"Charitie L. Bancroft (1841-92)",0
"Charles B. J. Root",0
"Charles Coffin (1676-1749)",0
"Charles Coffin (1676-1749) tr. John Chandler (1806",0
"Charles E Mudie (1818-1890)",0
"Charles E. Oakley",0
"Charles Edward Mudie (1818-90)",0
"Charles H. Gabriel",0
"Charles H. Spurgeon",0
"Charles Hutchinson Gabriel (Charlotte G Homer) ",0
"Charles Hutchinson Gabriel (Charlotte G Homer) (18",0
"Charles Kingsley (1819-75)",0
"Charles R Hurditch (1839-1908)",0
"Charles Silvester Horne (1865-1914)",0
"Charles Wesley",0
"Charles Wesley (1707 -1788) arr Godfrey Birtill",0
"Charles Wesley (1707- 88)",0
"Charles Wesley (1707-1788)",0
"Charles Wesley (1707-1788) 
Arr by: Chris Eaton & John Hartley",0
"Charles Wesley (1707-1788) and Joseph Hart (1712-1",0
"Charles Wesley (1707-1788) Arr by: Chris Eaton & John Hartley",0
"Charles Wesley (1707-1788) Arr by: Chris Eaton, John Hartley & Gareth Robinson",0
"Charles Wesley (1707-1788) arr. Godfrey Birtill",0
"Charles Wesley (1707-1788), Thomas Edward Brown",0
"Charles Wesley (1707-1788), Thomas Edward Brown (1",0
"Charles Wesley (1707-88)",0
"Charles Wesley (1707-88) alt.",0
"CHARLES WESLEY (1707-88) altd.",0
"Charles Wesley (1707-881)",0
"Charles Wesley (1708-88)",0
"Charles Wesley (I707-88)",0
"Charlie Hall",0
"Charlie Hall & J.D. Walt",0
"Charlie Hall & Kendall Combes",0
"Charlie Hall & Matt Redman",0
"Charlie Hall& Kendall Combes",0
"Charlie Hall, Kendal Combes, Quint Anderson,",0
"Charlie Hall, Kendall Combes,",0
"Charlie Hall, Kendall Combes, & Todd Cromwell",0
"Charlie Hall, Kendall Combes, Brian Bergman, Will Hunt & Todd Cromwell",0
"Charlie Hall, Kendall Combes, Quint Anderson",0
"Charlie Hall, Kendall Combes, Quint Anderson, Dustin Rugland, andBrian Bergman",0
"Charlie Hall, Louie Giglio & Kendal Combes",0
"Charlotte Elliott",0
"Charlotte Elliott (1789-1871)",0
